"","index","text","keyword1","keyword2","keyword3","concept1","concept2","concept3","entity1","entity2","entity3","anger","disgust","fear","joy","sadness","analytical","confident","tentative","openness","conscientiousness","extraversion","agreeableness","emotional_range","taxonomy","knowledgegraph"
"1","1","RT Elreynetwork FearandLoathingonSesameStreet ArtbyJimllPaintIt Bert Ernie Badass Elmo CountVonCount BatCountry  ","","","","","","","","","","0.058","0.055","0.069","0.652","0.208","0","0","0","0.2","0.138","0.411","0.637","0.056"," "," "
"2","2","Elmo the Murderer  Elmo SesameStreet serialkiller serialkillers Killers murderer Murder  ","","","","","","","","","","0.159","0.733","0.057","0.005","0.136","0","0","0","0.593","0.263","0.508","0.607","0.24"," "," "
"3","3","He fell asleep with all his friends lol Elmo Snoopy Goodnight  ","","","","","","","","","","0.053","0.038","0.073","0.437","0.468","0","0.825","0","0.152","0.361","0.666","0.752","0.567"," "," "
"4","4","RT Elreynetwork FearandLoathingonSesameStreet ArtbyJimllPaintIt Bert Ernie Badass Elmo CountVonCount BatCountry  ","","","","","","","","","","0.058","0.055","0.069","0.652","0.208","0","0","0","0.2","0.138","0.411","0.637","0.056"," "," "
"5","5","channel dubai mission accomplished EvePresenter Trip down memory lane was fun Elmo foreverlove","","","","","","","","","","0.014","0.054","0.024","0.804","0.13","0.589","0","0","0.011","0.199","0.558","0.712","0.336"," "," "
"6","6","RT TheShadeRoom Wayment Elmo what you doing  via worldstar  ","","","","","","","","","","0.077","0.032","0.083","0.801","0.063","0","0","0","0.102","0.743","0.672","0.906","0.765"," "," "
"7","7","elmo shirts for adults tantric sex youtube  ","","","","","","","","","","0.107","0.15","0.007","0.297","0.496","0","0","0","0.196","0.242","0.426","0.6","0.17"," "," "
"8","8","ELMO RealTalk OnCNN","","","","","","","","","","0.156","0.27","0.478","0.089","0.073","0","0","0","0.186","0.129","0.441","0.609","0.166"," "," "
"9","9","My big boy yesterday Elmo  ndHaloween  ","","","","","","","","","","0.086","0.06","0.165","0.656","0.099","0","0","0","0.038","0.231","0.721","0.773","0.248"," "," "
"10","10","Is it too early to get into pajamas Asking for a friend elmo pjs sesamestreet bedtimesoon  ","","","","","","","","","","0.051","0.103","0.064","0.445","0.42","0","0","0","0.019","0.43","0.455","0.778","0.249"," "," "
